versenum,osis,apoc
657,'Gen.24.65',0
658,'Gen.24.66',0
659,'Gen.24.67',0
660,'Gen.25.1',0
661,'Gen.25.2',0
662,'Gen.25.3',0
663,'Gen.25.4',0
664,'Gen.25.5',0
665,'Gen.25.6',0
666,'Gen.25.7',0
667,'Gen.25.8',0
668,'Gen.25.9',0
669,'Gen.25.10',0
670,'Gen.25.11',0
671,'Gen.25.12',0
672,'Gen.25.13',0
673,'Gen.25.14',0
674,'Gen.25.15',0
675,'Gen.25.16',0
676,'Gen.25.17',0
677,'Gen.25.18',0
678,'Gen.25.19',0
679,'Gen.25.20',0
680,'Gen.25.21',0
681,'Gen.25.22',0
682,'Gen.25.23',0
683,'Gen.25.24',0
684,'Gen.25.25',0
685,'Gen.25.26',0
686,'Gen.25.27',0
687,'Gen.25.28',0
688,'Gen.25.29',0
689,'Gen.25.30',0
690,'Gen.25.31',0
691,'Gen.25.32',0
692,'Gen.25.33',0
693,'Gen.25.34',0
694,'Gen.26.1',0
695,'Gen.26.2',0
696,'Gen.26.3',0
697,'Gen.26.4',0
698,'Gen.26.5',0
699,'Gen.26.6',0
700,'Gen.26.7',0
701,'Gen.26.8',0
702,'Gen.26.9',0
703,'Gen.26.10',0
704,'Gen.26.11',0
705,'Gen.26.12',0
706,'Gen.26.13',0
707,'Gen.26.14',0
708,'Gen.26.15',0
709,'Gen.26.16',0
710,'Gen.26.17',0
711,'Gen.26.18',0
712,'Gen.26.19',0
713,'Gen.26.20',0
714,'Gen.26.21',0
715,'Gen.26.22',0
716,'Gen.26.23',0
717,'Gen.26.24',0
718,'Gen.26.25',0
719,'Gen.26.26',0
720,'Gen.26.27',0
721,'Gen.26.28',0
722,'Gen.26.29',0
723,'Gen.26.30',0
724,'Gen.26.31',0
725,'Gen.26.32',0
726,'Gen.26.33',0
727,'Gen.26.34',0
728,'Gen.26.35',0
729,'Gen.27.1',0
730,'Gen.27.2',0
731,'Gen.27.3',0
732,'Gen.27.4',0
733,'Gen.27.5',0
734,'Gen.27.6',0
735,'Gen.27.7',0
736,'Gen.27.8',0
737,'Gen.27.9',0
738,'Gen.27.10',0
739,'Gen.27.11',0
740,'Gen.27.12',0
741,'Gen.27.13',0
742,'Gen.27.14',0
743,'Gen.27.15',0
744,'Gen.27.16',0
745,'Gen.27.17',0
746,'Gen.27.18',0
747,'Gen.27.19',0
748,'Gen.27.20',0
749,'Gen.27.21',0
750,'Gen.27.22',0
751,'Gen.27.23',0
752,'Gen.27.24',0
753,'Gen.27.25',0
754,'Gen.27.26',0
755,'Gen.27.27',0
756,'Gen.27.28',0
757,'Gen.27.29',0
758,'Gen.27.30',0
759,'Gen.27.31',0
760,'Gen.27.32',0
761,'Gen.27.33',0
762,'Gen.27.34',0
763,'Gen.27.35',0
764,'Gen.27.36',0
765,'Gen.27.37',0
766,'Gen.27.38',0
767,'Gen.27.39',0
768,'Gen.27.40',0
769,'Gen.27.41',0
770,'Gen.27.42',0
771,'Gen.27.43',0
772,'Gen.27.44',0
773,'Gen.27.45',0
774,'Gen.27.46',0
775,'Gen.28.1',0
776,'Gen.28.2',0
777,'Gen.28.3',0
778,'Gen.28.4',0
779,'Gen.28.5',0
780,'Gen.28.6',0
781,'Gen.28.7',0
782,'Gen.28.8',0
783,'Gen.28.9',0
784,'Gen.28.10',0
785,'Gen.28.11',0
786,'Gen.28.12',0
787,'Gen.28.13',0
788,'Gen.28.14',0
789,'Gen.28.15',0
790,'Gen.28.16',0
791,'Gen.28.17',0
792,'Gen.28.18',0
793,'Gen.28.19',0
794,'Gen.28.20',0
795,'Gen.28.21',0
796,'Gen.28.22',0
797,'Gen.29.1',0
798,'Gen.29.2',0
799,'Gen.29.3',0
800,'Gen.29.4',0
801,'Gen.29.5',0
802,'Gen.29.6',0
803,'Gen.29.7',0
804,'Gen.29.8',0
805,'Gen.29.9',0
806,'Gen.29.10',0
807,'Gen.29.11',0
808,'Gen.29.12',0
809,'Gen.29.13',0
810,'Gen.29.14',0
811,'Gen.29.15',0
812,'Gen.29.16',0
813,'Gen.29.17',0
814,'Gen.29.18',0
815,'Gen.29.19',0
816,'Gen.29.20',0
817,'Gen.29.21',0
818,'Gen.29.22',0
819,'Gen.29.23',0
820,'Gen.29.24',0
821,'Gen.29.25',0
822,'Gen.29.26',0
823,'Gen.29.27',0
824,'Gen.29.28',0
825,'Gen.29.29',0
826,'Gen.29.30',0
827,'Gen.29.31',0
828,'Gen.29.32',0
829,'Gen.29.33',0
830,'Gen.29.34',0
831,'Gen.29.35',0
832,'Gen.30.1',0
833,'Gen.30.2',0
834,'Gen.30.3',0
835,'Gen.30.4',0
836,'Gen.30.5',0
837,'Gen.30.6',0
838,'Gen.30.7',0
839,'Gen.30.8',0
840,'Gen.30.9',0
841,'Gen.30.10',0
842,'Gen.30.11',0
843,'Gen.30.12',0
844,'Gen.30.13',0
845,'Gen.30.14',0
846,'Gen.30.15',0
847,'Gen.30.16',0
848,'Gen.30.17',0
849,'Gen.30.18',0
850,'Gen.30.19',0
851,'Gen.30.20',0
852,'Gen.30.21',0
853,'Gen.30.22',0
854,'Gen.30.23',0
855,'Gen.30.24',0
856,'Gen.30.25',0
857,'Gen.30.26',0
858,'Gen.30.27',0
859,'Gen.30.28',0
860,'Gen.30.29',0
861,'Gen.30.30',0
862,'Gen.30.31',0
863,'Gen.30.32',0
